"table"	"fieldName"	"description"	"dataType"	"units"	"downloadPkg"	"pubFormat"	"primaryKey"
"cfc_lignin"	"uid"	"Unique ID within NEON database; an identifier for the record"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"namedLocation"	"Name of the measurement location in the NEON database"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"domainID"	"Unique identifier of the NEON domain"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"siteID"	"NEON site code"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"plotID"	"Plot identifier (NEON site code_XXX)"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"plotType"	"NEON plot type in which sampling occurred: tower, distributed or gradient"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"sampleID"	"Identifier for sample"	"string"	NA	"basic"	"obfuscate"	"N"
"cfc_lignin"	"sampleCode"	"Barcode of a sample"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"ligninSampleID"	"Identifier for a lignin sample"	"string"	NA	"basic"	"obfuscate"	"Y"
"cfc_lignin"	"ligninSampleBarcode"	"Barcode for a lignin sample"	"string"	NA	"basic"	"asIs"	"Y"
"cfc_lignin"	"setDate"	"Date that trap was set"	"dateTime"	NA	"none"	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"N"
"cfc_lignin"	"collectDate"	"Date of the collection event"	"dateTime"	NA	"basic"	"yyyy-MM-dd'T'HH:mm'Z'(floor)"	"N"
"cfc_lignin"	"analysisDate"	"Date that the sample was analyzed"	"dateTime"	NA	"basic"	"yyyy-MM-dd(floor)"	"N"
"cfc_lignin"	"analyticalRepNumber"	"Number of the analytical replicate"	"unsigned integer"	"number"	"basic"	"integer"	"Y"
"cfc_lignin"	"dryMass"	"Oven-dried mass of sample or subsample"	"real"	"gram"	"basic"	"*.###(round)"	"N"
"cfc_lignin"	"ligninPercent"	"Percent lignin on a dry mass basis"	"real"	"percent"	"basic"	"*.##(round)"	"N"
"cfc_lignin"	"cellulosePercent"	"Percent cellulose on a dry mass basis"	"real"	"percent"	"basic"	"*.##(round)"	"N"
"cfc_lignin"	"measurementQF"	"Quality flag for sample measurement"	"string"	NA	"basic"	"LOV"	"N"
"cfc_lignin"	"accuracyQF"	"Quality flag for quality assurance materials associated with the run"	"string"	NA	"basic"	"LOV"	"N"
"cfc_lignin"	"remarks"	"Technician notes; free text comments accompanying the record"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"laboratoryName"	"Name of the laboratory or facility that is processing the sample"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"testMethod"	"Method used to conduct test"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"analyzedBy"	"Name of lab personnel analyzing sample"	"string"	NA	"basic"	"obfuscate"	"N"
"cfc_lignin"	"reviewedBy"	"Name of lab personnel who reviewed the data prior to submission"	"string"	NA	"basic"	"obfuscate"	"N"
"cfc_lignin"	"dataQF"	"Data quality flag"	"string"	NA	"basic"	"asIs"	"N"
"cfc_lignin"	"publicationDate"	"Date of data publication on the NEON data portal"	"dateTime"	NA	"appended by stackByTable"	"asIs"	"N"
